NMC (%),Gs,LL,PL,PI,LI,FL,TI,G,CS,MS,FS,F,OMC%,MDD (kN/m3),Cohesion (kPa),Angle of Friction (°),Coefficient of Compressibilty Mp ,Preconsolidation Pressure,Compression Index
19,2.64,57,23,34,-0.11,8.71,3.89,3,7.2,10.8,11.3,67.7,16,1825,81.9,19.3,0.31514,0.04,0.0463
22,2.56,26,18,8,0.53,14,0.55,9.8,8,13.8,10.9,57.5,16,1825,86.7,19.7,0.31197,0.04,0.0459
24,2.61,41,19,23,0.34,44.65,0.51,1,1.6,39,9.3,49.1,17.4,1887,108.8,13.4,0.27774,0.04,0.0411
25,2.58,47,26,20,-0.07,2.42,8.33,0.7,1.7,4.2,14.9,78.5,14.8,1844,106.3,13.8,0.30153,0.04,0.0457
26,2.65,40,24,17,0.12,15.54,1.08,0.7,2,10.6,18.3,68.4,13.8,1867,111,13.9,0.31365,0.04,0.0475
25,2.61,47,24,23,0.03,8.27,2.76,12.1,12.4,26.8,19.9,28.8,14,1800,92.7,13.3,0.33822,0.04,0.0519
12,2.59,0,0,0,0,0,0,11,13,25,14.3,36.1,12.5,1953,38.7,9,0.30153,0.04,0.0457
15,2.58,0,0,0,0,0,0,17.4,20,22.7,9.3,30.6,12,1940,87.9,15.5,0.362,0.04,0.0554
25,2.67,36,16,20,0.4,6.89,2.96,4.1,6.4,17.2,17.2,55.1,15.2,1824,86.9,20.3,0.34336,0.04,0.0527
23,2.66,23,11,12,0.87,3.91,3.16,9.1,15.2,21.9,15.6,38.2,11,2056,85.9,13.8,0.37606,"0,04",0.0624
14,2.65,0,0,0,0,0,0,5.5,21.3,3.5,16.6,26.1,9.3,2059,14,5,0.31389,0.04,0.0462
19,2.53,0,0,0,0,0,0,0.6,2,19.8,41.9,35.7,9.5,2249,18.44,14,0.30061,0.04,0.0463
11,2.65,27,18,9,-0.78,2.77,3.2,38.8,17,14.8,8.5,20.9,8,2060,82.7,19,0.26759,0.04,0.0395
10,2.64,25,18,7,-1.33,4.2,1.58,35,26,5.3,8.9,24.8,6.4,2341,80.2,15.8,0.26022,0.04,0.0385
14,2.66,43,24,19,-0.56,18.47,1.01,15.5,26.9,23,8.5,26.1,9.5,2260,103.7,17.9,0.24583,0.04,0.0365
18,2.65,49,24,24,-0.27,12.75,1.89,9.6,10.4,23,14.2,42.8,11,2080,90.3,15.6,0.34172,0.04,0.05
17,2.52,0,0,0,0,0,0,0.6,5.7,27.2,28.4,38.1,8.5,2120,22.4,26.38,0.23972,0.04,0.0357
12,2.58,0,0,0,0,0,0,3.2,8.8,40.4,29.3,18.3,6.2,2118,17.9,16,0.35783,0.04,0.0595
20,2.54,0,0,0,0,0,0,29,14.4,18.1,6.1,32.4,8.8,2082,8.9,30.48,0.35585,0.04,0.052
21,2.57,0,0,0,0,0,0,11.4,7.6,19.5,14.8,46.7,10.6,2015,26.52,38.5,0.29518,0.04,0.0435
29,2.51,0,0,0,0,0,0,4.9,4.2,16.4,17.1,57.4,12,2070,0,49,0.30452,0.04,0.0449
9,2.56,0,0,0,0,0,0,3.7,7.9,14.3,12.7,61.4,13,2075,25.34,24.86,0.32455,0.04,0.0477
9,2.61,30,21,9,-1.34,4.62,1.93,4.8,18.2,25.6,22.5,28.9,11.8,2214,89.4,16.6,0.36973,0.04,0.054
11,2.61,27,15,12,-0.3,8.03,1.5,1.8,14.8,24.1,18,41.3,13.5,2155,78.6,13.3,0.39326,0.04,0.0574
20,2.63,45,26,19,-0.31,5.43,3.46,1.9,5.6,21.7,21.2,49.6,12,2055,72.3,13,0.32959,0.04,0.0484
20,2.51,0,0,0,0,0,0,0.6,6.4,16,29.8,47.2,9.7,2092,89.1,11.4,0.3193,0.04,0.047
12,2.68,35,23,12,-0.86,10.27,1.2,12.5,19.8,22,13.5,32.2,10.8,2336,79.3,11.5,0.39951,0.04,0.0582
18,2.66,52,28,23,-0.46,16.94,1.37,8.2,20.4,13.3,9.5,48.6,19,1788,85,12.6,0.45818,0.04,0.0664
18,2.64,44,24,20,-0.33,10.63,1.87,11.6,12.6,13,7.2,55.6,10.3,1953,90.3,15.6,0.36226,0.04,0.053
22,2.68,56,30,26,-0.32,17.96,1.44,7.7,10.7,15.2,7,59.4,16,1832,81.6,14.5,0.38599,0.04,0.0563
26,2.66,59,28,31,-0.07,8.59,3.62,4.4,8.6,16.4,6.4,64.2,20,1777,83.1,13.2,0.40911,0.04,0.0596
24,2.62,43.3,26,18,-0.09,10.91,1.63,2.9,7.1,19,10.9,60.1,18.3,1825,73.4,9.2,0.30274,0.04,0.0446
11,2.66,34,16,17,-0.28,5.64,3.09,10.1,37.6,23.2,6.9,22.2,7,2270,79,10.5,0.47415,0.04,0.0687
12,2.64,25,16,9,-0.42,20.7,0.45,24.6,35.4,17.1,4.8,18.1,110.4,2234,77.6,10.2,0.4836,0.04,0.07
12,2.64,43,25,18,-0.74,7.91,2.23,6.9,20.4,30,10.3,32.4,11,2160,79.6,13,0.36252,0.04,0.053
15,2.62,33,19,13,-0.34,9.43,1.41,2,18.3,34.4,8.6,36.7,10.6,2151,76.9,9.4,0.37572,0.04,0.0549
8,2.62,0,0,0,0,0,0,8.3,28,25.9,12.1,25.7,8.1,2287,20.5,17,0.43671,0.04,0.0634
19,2.66,47,24,23,-0.23,7.44,3.09,13.5,12.4,16.3,7.1,50.7,14,1947,71.1,9.3,0.45002,0.04,0.0653
25,2.65,55,25,31,0.03,10.93,2.81,3.9,3.9,9.5,9.2,73.5,17.8,1825,77,8.4,0.43057,0.04,0.0626
27,2.63,45,18,28,0.34,10.03,2.75,3.9,3.2,11.4,8.9,72.6,15.5,1970,69.3,9,0.42805,0.04,0.0622
26,2.59,49,25,24,0.06,9.83,2.41,1.4,3.2,16.1,22.8,56.5,16.8,1973,67.3,7.1,0.44919,0.04,0.0652
